human,humanLabel,uniLabel,plcLabel
http://www.wikidata.org/entity/Q330757,Gottfrid Billing,Lund University,Önnestad parish
http://www.wikidata.org/entity/Q333941,Lars Hörmander,Lund University,Mjällby
http://www.wikidata.org/entity/Q335832,Þórarinn Eldjárn,Lund University,Reykjavík
http://www.wikidata.org/entity/Q335879,Torsten Hägerstrand,Lund University,Alvesta Municipality
http://www.wikidata.org/entity/Q345654,Carl Adolph Agardh,Lund University,Båstads parish
http://www.wikidata.org/entity/Q350346,Adam Ludwig Lewenhaupt,Lund University,Copenhagen
http://www.wikidata.org/entity/Q358962,Ivar Wickman,Lund University,Lunds Cathedral Assembly
http://www.wikidata.org/entity/Q365923,Erik Acharius,Lund University,Gävle Heliga Trefaldighets
http://www.wikidata.org/entity/Q366765,Esaias Tegnér,Lund University,By parish
http://www.wikidata.org/entity/Q368529,Johan Wilhelm Dalman,Lund University,Q10605307
http://www.wikidata.org/entity/Q370216,Haquin Spegel,Lund University,Q10656780
http://www.wikidata.org/entity/Q380741,Eric Hultén,Lund University,"Halla socken, Södermanland"
http://www.wikidata.org/entity/Q434380,Carl Gustav Rehnskiöld,Lund University,Stralsund
http://www.wikidata.org/entity/Q435781,Carl Jakob Sundevall,Lund University,Ystad Municipality
http://www.wikidata.org/entity/Q439393,Annie Lööf,Lund University,Maramö
http://www.wikidata.org/entity/Q442103,Katarina Mazetti,Lund University,Stockholm
http://www.wikidata.org/entity/Q442186,Anders Nygren,Lund University,Haga parish
http://www.wikidata.org/entity/Q444002,Frans G. Bengtsson,Lund University,Q10708136
http://www.wikidata.org/entity/Q450686,Antje Jackelén,Lund University,Herdecke
http://www.wikidata.org/entity/Q455767,Göran Therborn,Lund University,Kalmar
http://www.wikidata.org/entity/Q470384,Carl Wilhelm Oseen,Lund University,Lund
http://www.wikidata.org/entity/Q471175,Lars Vilks,Lund University,Helsingborg
http://www.wikidata.org/entity/Q472801,Leif Silbersky,Lund University,Malmö
http://www.wikidata.org/entity/Q487347,Christian Wilhelm Blomstrand,Lund University,Q10718572
http://www.wikidata.org/entity/Q490699,Anders Retzius,Lund University,Lunds Cathedral Assembly
http://www.wikidata.org/entity/Q491077,Anders Jahan Retzius,Lund University,Q10549200
http://www.wikidata.org/entity/Q491167,Anders Lindstedt,Lund University,Sundborns
http://www.wikidata.org/entity/Q491319,Anders Wiman,Lund University,Hammarlöv
http://www.wikidata.org/entity/Q503589,Herman Bernhard Lundborg,Lund University,Väse parish
http://www.wikidata.org/entity/Q518776,Jimmie Åkesson,Lund University,Ivetofta
http://www.wikidata.org/entity/Q520223,Maria Borelius,Lund University,Täby
http://www.wikidata.org/entity/Q520463,Ulf Grahn,Lund University,Solna Municipality
http://www.wikidata.org/entity/Q533733,Arvid Lindau,Lund University,Malmö Sankt Petri församling
http://www.wikidata.org/entity/Q535342,Lena Ek,Lund University,Mönsterås
http://www.wikidata.org/entity/Q541549,Erik Leonard Ekman,Lund University,Stockholm
http://www.wikidata.org/entity/Q552904,Michael Treschow,Lund University,Helsingborg
http://www.wikidata.org/entity/Q557375,Sven Ludvig Lovén,Lund University,Maria Magdalena parish
http://www.wikidata.org/entity/Q558050,Ann-Sofie Johansson,Lund University,Ronneby
http://www.wikidata.org/entity/Q560790,Alfred Gabriel Nathorst,Lund University,Bergshammars parish
http://www.wikidata.org/entity/Q562846,Henrik Sjöberg,Lund University,Stockholm
http://www.wikidata.org/entity/Q611625,Wilhelm Agrell,Lund University,Uppsala
http://www.wikidata.org/entity/Q640991,Gustaf Retzius,Lund University,Kungsholms parish
http://www.wikidata.org/entity/Q666114,Christofer Fjellner,Lund University,Västerås
http://www.wikidata.org/entity/Q703513,Roy Andersson,Lund University,Gothenburg
http://www.wikidata.org/entity/Q705960,Elis Strömgren,Lund University,Helsingborg
http://www.wikidata.org/entity/Q708780,Pehr Henrik Ling,Lund University,Q10688935
http://www.wikidata.org/entity/Q710593,Otto Lindblad,Lund University,Q10543952
http://www.wikidata.org/entity/Q713935,Rune Elmqvist,Lund University,Lund
http://www.wikidata.org/entity/Q714063,Bertil Hult,Lund University,Stockholm
http://www.wikidata.org/entity/Q717102,Sivar Arnér,Lund University,Kalmar County
http://www.wikidata.org/entity/Q725590,Gustaf Johan Billberg,Lund University,Karlskrona
http://www.wikidata.org/entity/Q727463,Per Collinder,Lund University,Sundsvall
http://www.wikidata.org/entity/Q728626,Göran Sonnevi,Lund University,Lund
http://www.wikidata.org/entity/Q732153,Hans Rausing,Lund University,Gothenburg
http://www.wikidata.org/entity/Q736172,Sture Petrén,Lund University,Oscars Assembly
http://www.wikidata.org/entity/Q742722,Erik Lindahl,Lund University,Adolf Fredriks parish
http://www.wikidata.org/entity/Q747922,Johan Erhard Areschoug,Lund University,Göteborg City
http://www.wikidata.org/entity/Q748553,Jesper Swedberg,Lund University,Q10493877
